Iteration,T_0_0,T_0_1,T_0_2,T_0_3,T_1_0,T_1_1,T_1_2,T_1_3,T_2_0,T_2_1,T_2_2,T_2_3,T_3_0,T_3_1,T_3_2,T_3_3
12,0.0,0.0,0.0,0.0,0.0,0.0,12.234972252923122,3.4569623913382133,0.0,-12.234972252923122,0.0,-0.4021055813041695,0.0,-3.4569623913382133,0.4021055813041695,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,12.307896599339983,3.5115932895762376,0.0,-12.307896599339983,0.0,-0.4203990294830049,0.0,-3.5115932895762376,0.4203990294830049,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,12.371272779230427,3.55907907264673,0.0,-12.371272779230427,0.0,-0.4362894263029553,0.0,-3.55907907264673,0.4362894263029553,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,12.426366956419233,3.600366606182477,0.0,-12.426366956419233,0.0,-0.45009606995601237,0.0,-3.600366606182477,0.45009606995601237,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,12.47424667792669,3.63625348050091,0.0,-12.47424667792669,0.0,-0.4620889171450367,0.0,-3.63625348050091,0.4620889171450367,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,12.515856220649598,3.667446103255383,0.0,-12.515856220649598,0.0,-0.47250583711346844,0.0,-3.667446103255383,0.47250583711346844,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,12.552031976757913,3.6945698899498485,0.0,-12.552031976757913,0.0,-0.4815578065273214,0.0,-3.6945698899498485,0.4815578065273214,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,12.583469002178958,3.718144549718086,0.0,-12.583469002178958,0.0,-0.48942017218013106,0.0,-3.718144549718086,0.48942017218013106,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,12.610786910725123,3.738633742455795,0.0,-12.610786910725123,0.0,-0.496248887988586,0.0,-3.738633742455795,0.496248887988586,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,12.63452582574011,3.75644163489319,0.0,-12.63452582574011,0.0,-0.5021799105661799,0.0,-3.75644163489319,0.5021799105661799,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,12.65516846762078,3.771929496965811,0.0,-12.65516846762078,0.0,-0.5073346903742316,0.0,-3.771929496965811,0.5073346903742316,0.0
