Iteration,T_0_0_0,T_0_0_1,T_0_0_2,T_0_1_0,T_0_1_1,T_0_1_2,T_0_2_0,T_0_2_1,T_0_2_2
46,0.0,9.986468099357767,6.657531199693196,-9.986536619273386,0.0,-3.328662820004926,-6.657805279352843,3.329005419580194,0.0
47,0.0,9.988244805318063,6.658730664502389,-9.988304328733806,0.0,-3.3292760471551706,-6.658968758162894,3.3295736642314187,0.0
48,0.0,9.98978823406529,6.659772642471262,-9.989839942199918,0.0,-3.3298087590576557,-6.659979475007637,3.330067299728657,0.0
49,0.0,9.991129014335634,6.660677811242616,-9.991173933316732,0.0,-3.3302715271704773,-6.660857487165156,3.3304961220741194,0.0
50,0.0,9.992293753385988,6.661464133534554,-9.992332774613068,0.0,-3.330673534944748,-6.661620218441246,3.330868641078517,0.0
51,0.0,9.99330556500452,6.662147213603558,-9.99333946283847,0.0,-3.331022760066564,-6.662282804937962,3.331192249234918,0.0
52,0.0,9.994184528194667,6.662740606904825,-9.994213975324671,0.0,-3.3313261327710566,-6.662858395423617,3.3314733684198528,0.0
53,0.0,9.994948085635093,6.66325608909493,-9.994973666427855,0.0,-3.331589673370179,-6.6633584122649205,3.3317175773329306,0.0
54,0.0,9.995611389822756,6.663703889715109,-9.995633611919045,0.0,-3.331818611723421,-6.6637927780993405,3.3319297222039435,0.0
55,0.0,9.996187603768268,6.664092895192464,-9.99620690815684,0.0,-3.332017491022322,-6.664170112745951,3.332114012964381,0.0
