Iteration,T_0_0_0,T_0_0_1,T_0_0_2,T_0_1_0,T_0_1_1,T_0_1_2,T_0_2_0,T_0_2_1,T_0_2_2
0,0.0,0.8333333321217615,0.8333333321217615,-1.6666666653314977,0.0,-1.6666666653314977,-0.8333333321217615,-0.8333333321217615,0.0
1,0.0,2.2916666643244756,1.4583333311147397,-2.4999999974292493,0.0,-0.8333333331857259,-1.73611110856581,0.7638888888874494,0.0
2,0.0,3.3622685151488323,2.1817129596805245,-3.425925922472784,0.0,-1.0648148149139958,-2.3437499965536195,1.1979166664734757,0.0
3,0.0,4.244309409142107,2.7801890387912227,-4.278549378537027,0.0,-1.350308642143158,-2.901716816769492,1.490644289975261,0.0
4,0.0,5.0018084443330055,3.292221252908323,-5.027970673981506,0.0,-1.6087962965378628,-3.394298155877894,1.7344634129904315,0.0
5,0.0,5.658359181978799,3.7355759385097134,-5.680485891078157,0.0,-1.8349194100722974,-3.82365410648367,1.944695617991275,0.0
6,0.0,6.228456288377587,4.120471115078163,-6.24757756514486,0.0,-2.031607224544587,-4.196884784060696,2.1270707298390046,0.0
7,0.0,6.723659251475983,4.454788811124179,-6.740253236427665,0.0,-2.2025123597854983,-4.521152844827264,2.285458472166708,0.0
8,0.0,7.153836293894679,4.745204439134269,-7.168248742897254,0.0,-2.350985036515242,-4.802852249822909,2.4230433113195144,0.0
9,0.0,7.527530966086397,4.997488034227747,-7.540050630787045,0.0,-2.479964769805589,-5.047566361781401,2.5425624310587085,0.0
10,0.0,7.852160234214114,5.216647207267197,-7.863036019429239,0.0,-2.5920099678986825,-5.2601502937246485,2.64638878475283,0.0
11,0.0,8.13416642898208,5.407031276762719,-8.14361423692015,0.0,-2.689343933932882,-5.444822499518021,2.7365829556886156,0.0
12,0.0,8.379145884299923,5.572418371004186,-8.387353215668083,0.0,-2.7738981898832695,-5.6052476950751275,2.8149348440054305,0.0
13,0.0,8.59196012594151,5.71609053686356,-8.599089854513124,0.0,-2.8473506765741843,-5.744609449437696,2.8829993175792,0.0
