step,reward
0,4.069587
1,1.2695029
2,0.99211526
3,0.4174712
4,0.8879238
5,1.9238223
6,-0.57870364
7,2.4386861
8,0.029500796
9,1.8352144
10,2.716507
11,0.103162326
12,0.89910454
13,0.85387653
14,0.85920864
15,0.94380885
16,1.3361067
17,1.3684753
18,2.7605886
19,0.9934374
20,1.9825239
21,2.3815908
22,1.0748377
23,3.6719441
24,0.1926561
25,2.6003125
26,0.20497838
27,1.8989221
28,2.9343376
29,1.5058037
30,2.8740435
31,1.3420501
32,2.732981
33,2.8887877
34,0.62271833
35,1.9513009
36,0.81922203
37,0.95125014
38,0.6015695
39,1.3495737
40,1.8893052
41,0.32747927
42,4.046729
43,1.3267069
44,0.6457341
45,1.9645535
46,1.5793769
47,1.4237456
48,2.5776083
49,0.7733971
50,3.6915047
51,0.7196718
52,0.872157
53,1.4917614
54,1.4684937
55,0.9523041
56,2.5516944
57,2.3568702
58,5.3213077
59,2.6500125
60,1.0893396
61,0.6656062
62,0.5428686
63,0.21808386
64,1.1086059
65,0.28278825
66,1.7275405
67,-0.043715153
68,0.71948564
69,2.9420035
70,1.6320074
71,0.400601
72,-0.064927675
73,0.30363432
74,1.0663123
75,1.9251045
76,0.40807894
77,1.009545
78,4.545261
79,1.7022449
80,2.4547646
81,0.77565545
82,0.76238513
83,0.5823917
84,0.7517964
85,0.78566045
86,2.2632802
87,0.8509882
88,-0.32372716
89,1.0908674
90,1.9056034
91,0.6882895
92,1.488131
93,0.7713784
94,0.5432495
95,3.5921614
96,-0.48024625
97,0.4798105
98,1.2179643
99,1.0347557
100,2.4311285
101,0.028028004
102,1.7343348
103,2.242126
104,-0.5426228
105,1.4557542
106,6.2358274
107,0.520045
108,0.48729044
109,2.2241096
110,-0.1993394
111,0.634229
112,1.5859996
113,0.16039178
114,2.26125
115,0.4013075
116,0.065094106
117,0.6308362
118,2.218749
119,0.7499622
120,1.9606688
121,1.9251157
122,0.45109648
123,0.018368497
124,0.37620154
125,1.3238381
126,2.1632047
127,2.5235267
128,5.4673586
129,0.22468501
130,1.2544094
131,0.42401317
132,0.40071332
133,1.6155715
134,1.338122
135,1.1619742
136,1.6506072
137,0.4382148
138,0.5776805
139,1.5696987
140,0.7162278
141,0.41899335
142,1.7324971
143,0.4037685
144,2.11588
145,2.481099
146,0.54272884
147,0.61138105
148,2.5005372
149,1.8753064
150,0.63426137
151,0.944804
152,0.5452359
153,0.19743223
154,0.56419045
155,1.810562
156,0.31537026
157,1.2787063
158,1.436742
159,1.5551748
160,0.6708118
161,1.6925887
162,0.8599712
163,1.2394733
164,0.11248659
165,0.24932069
166,0.54687893
167,0.684999
168,0.34225678
169,0.34615988
170,0.58622
171,0.6967094
172,1.544046
173,1.6429507
174,0.52676946
175,1.4899967
176,0.6439408
177,2.0988333
178,0.5019915
179,1.0244548
180,0.7573036
181,0.02723851
182,0.099877596
183,0.58663195
184,0.8300899
185,0.47457543
186,0.0015351296
187,-0.11591722
188,0.2117723
189,0.33738795
190,1.8842871
191,1.8648156
192,0.1560986
193,1.521856
194,0.27048627
195,1.2442647
196,1.8806077
197,0.27218923
198,0.36026853
199,1.6556208
200,2.0881233
201,2.1781418
202,1.3261573
203,0.791307
204,1.396486
205,1.5399408
206,0.61406565
207,1.5313503
208,0.11282735
209,-0.0011377826
210,1.5970135
211,-0.14037272
212,0.54207325
213,2.3796687
214,0.5923092
215,1.5003324
216,1.8208835
217,0.9931836
218,1.8571507
219,1.981491
220,1.6347066
221,0.47103718
222,0.37943295
223,0.77491087
224,0.79184675
225,0.9427945
226,0.4007497
227,0.52347904
228,5.3191404
229,1.7381513
230,1.4560477
231,0.60573596
232,2.3877883
233,-0.025616545
234,0.52955097
235,0.844543
236,0.9217338
237,1.6339837
238,0.6822484
239,0.5180566
240,-0.22096793
241,0.5010777
242,1.0318573
243,0.2801914
244,3.1439655
245,1.4354811
246,0.77621233
247,1.6569555
248,0.19848716
249,1.5710502
250,0.56861603
251,1.0867169
252,1.8682172
253,2.0561635
254,2.3515868
255,1.8314191
256,0.7494255
257,1.8597902
258,3.5201797
259,0.56056416
260,1.2812781
261,0.91284794
262,1.6621333
263,0.6199498
264,2.0321405
265,1.1227756
266,2.5752993
267,2.2041442
268,1.3409415
269,3.902244
270,0.6762906
271,0.6021735
272,1.9879148
273,0.56773436
274,1.3688265
275,2.001184
276,0.6177308
277,0.102480374
278,0.010720314
279,1.3267369
280,0.606932
281,2.0851116
282,1.2679964
283,4.8640494
284,1.8960395
285,-0.2997096
286,0.9390304
287,1.2481736
288,0.51147074
289,0.7636827
290,0.92367035
291,0.49198037
292,3.6144772
293,1.5944455
294,0.6782967
295,0.5052098
296,1.5801673
297,2.4300609
298,1.8983324
299,1.3315444
300,2.8166423
301,1.5291146
302,1.6137093
303,1.2938721
304,1.7036153
305,0.5974972
306,0.9115773
307,2.096792
308,3.5729306
309,1.872387
310,0.25109723
311,1.8090101
312,1.404896
313,0.3938644
314,1.9902369
315,-0.297985
316,4.1341968
317,0.52817166
318,1.3739358
319,2.354164
320,2.2637112
321,0.89742935
322,1.9314048
323,2.57969
324,2.640008
325,1.8330959
326,1.5176882
327,1.7394791
328,0.55184823
329,0.43865982
330,0.76537156
331,1.6823056
332,2.1712563
333,1.793912
334,0.5430906
335,1.2997247
336,0.6136238
337,1.6737556
338,0.63736963
339,1.8043482
340,4.188899
341,0.18541853
342,0.23097463
343,0.39720297
344,0.6206295
345,0.43012652
346,1.7382271
347,1.4694693
348,1.1933419
349,1.7699026
350,1.4944713
351,0.46253714
352,0.7105991
353,1.4007074
354,0.38974097
355,3.1949134
356,3.247491
357,2.6052673
358,-0.11141808
359,1.8164423
360,2.5657861
361,1.3347968
362,1.5726359
363,2.5119724
364,1.866578
365,2.1601837
366,1.0207657
367,0.6932013
368,0.4709448
369,0.43706334
370,1.861017
371,0.840222
372,0.44736615
373,1.4554434
374,1.9974838
375,0.36539134
376,2.0762682
377,0.0246841
378,2.5254056
379,0.8692345
380,0.49540946
381,2.9447725
382,1.8309932
383,1.4876571
384,-0.0935919
385,1.8937145
386,2.4243467
387,0.63191825
388,1.2090011
389,2.5131764
390,1.2825502
391,0.98383206
392,0.5337306
393,1.5141606
394,1.8470705
395,2.3231916
396,2.1970458
397,2.1565413
398,0.2903507
399,-0.16776343
400,1.6821966
401,1.9353675
402,1.6081214
403,1.7595758
404,2.784212
405,0.37607014
406,0.42966792
407,0.67953664
408,-0.2031837
409,1.5991992
410,1.081809
411,1.7954545
412,1.7830822
413,2.2765703
414,0.4806242
415,5.035954
416,1.711024
417,0.27470282
